%graph id,same_affiliation_ratio,clustering_coeff_total,clustering_coeff_same
0,0.39909297,0.0,0.0
1,0.39909297,1.8315019E-4,0.0
2,0.4489796,7.3260075E-4,0.0
3,0.39909297,0.0012820513,0.0
4,0.43537414,0.0025641026,3.6630037E-4
5,0.35600907,0.0036630037,5.494506E-4
6,0.39229023,0.0053113555,9.157509E-4
7,0.39002267,0.0062271063,9.157509E-4
8,0.40816328,0.007142857,9.157509E-4
9,0.39455783,0.008791209,9.157509E-4
10,0.4240363,0.00970696,9.157509E-4
11,0.3968254,0.011538462,0.0010989011
12,0.4240363,0.0133699635,0.0014652015
13,0.37188208,0.014285714,0.0018315018
14,0.42857143,0.015018315,0.0020146521
15,0.44444445,0.01831502,0.0023809525
16,0.39229023,0.021062272,0.0027472528
17,0.37188208,0.023076924,0.0032967033
18,0.42857143,0.025457876,0.0040293043
19,0.3877551,0.027106227,0.004578755
20,0.42630386,0.028021978,0.004578755
21,0.37868482,0.03040293,0.004761905
22,0.4399093,0.031868134,0.0053113555
23,0.3809524,0.034065936,0.005860806
24,0.3968254,0.035347987,0.0062271063
25,0.3628118,0.03772894,0.0065934067
26,0.4036281,0.03937729,0.006959707
27,0.42857143,0.041575093,0.007142857
28,0.39455783,0.042857144,0.0075091575
29,0.38321996,0.044505496,0.007875458
30,0.39002267,0.046336997,0.0080586085
31,0.41269842,0.05,0.008791209
32,0.37641722,0.052197803,0.00952381
33,0.37868482,0.053663004,0.00952381
34,0.38321996,0.054945055,0.00952381
35,0.44444445,0.056227107,0.00989011
36,0.414966,0.057326008,0.01007326
37,0.41043085,0.05915751,0.010439561
38,0.39229023,0.06025641,0.010989011
39,0.4036281,0.06135531,0.011172161
40,0.3968254,0.06263737,0.011355312
41,0.39229023,0.06428572,0.011538462
42,0.41043085,0.06575092,0.011538462
43,0.39909297,0.06794872,0.011721612
44,0.4036281,0.06996337,0.011904762
45,0.41950113,0.070879124,0.012087912
46,0.38548753,0.072161175,0.012087912
47,0.4399093,0.07362638,0.012087912
48,0.39455783,0.07728938,0.012454213
49,0.4240363,0.07857143,0.0133699635
50,0.40589568,0.08040293,0.0133699635
51,0.39229023,0.082783885,0.013553114
52,0.414966,0.08388279,0.013919414
53,0.42857143,0.08498169,0.013919414
54,0.38548753,0.08663004,0.013919414
55,0.38548753,0.08791209,0.014102564
56,0.414966,0.09010989,0.014468865
57,0.41950113,0.09157509,0.015018315
58,0.37188208,0.092307694,0.015018315
59,0.39455783,0.09468865,0.015201465
60,0.41723356,0.0956044,0.015567766
61,0.39229023,0.09761905,0.016117217
62,0.4376417,0.09981685,0.016849818
63,0.3968254,0.10091575,0.017582418
64,0.40136054,0.102747254,0.017582418
65,0.44444445,0.10531136,0.018131869
66,0.46712017,0.10750916,0.01868132
67,0.40589568,0.10842491,0.01868132
68,0.39229023,0.11080586,0.01904762
69,0.42857143,0.11263736,0.01904762
70,0.37414965,0.114102565,0.01978022
71,0.39455783,0.11575092,0.01996337
72,0.3877551,0.11684982,0.02014652
73,0.41269842,0.11831502,0.020512821
74,0.40816328,0.11959707,0.020879121
75,0.3968254,0.12142857,0.021062272
76,0.3877551,0.12234432,0.021062272
77,0.38548753,0.12326007,0.021062272
78,0.39002267,0.124725275,0.021428572
79,0.42630386,0.12673993,0.021794872
80,0.37414965,0.12838829,0.022344323
81,0.3968254,0.12985349,0.022527473
82,0.40816328,0.13095239,0.022893773
83,0.39002267,0.13205129,0.023076924
84,0.4036281,0.13315019,0.023626374
85,0.42857143,0.13388279,0.023809524
86,0.37188208,0.13534799,0.024175825
87,0.4217687,0.1364469,0.024542125
88,0.38321996,0.13809524,0.024542125
89,0.4036281,0.1393773,0.024725275
90,0.44671202,0.1404762,0.024908425
91,0.39229023,0.1423077,0.024908425
92,0.41043085,0.1434066,0.025091575
93,0.414966,0.1459707,0.025457876
94,0.3968254,0.146337,0.025457876
95,0.40136054,0.14835165,0.025824176
96,0.37641722,0.14908426,0.025824176
97,0.39002267,0.15164836,0.026556777
98,0.4036281,0.15347986,0.026556777
99,0.39002267,0.15494506,0.027289378
